stamp_sec,x_pos
1752663977.2378657,70.1969985961914
1752663977.2763653,70.1969985961914
1752663977.495424,70.1969985961914
1752663977.7002125,70.1969985961914
1752663977.885869,70.19710540771484
1752663978.0525653,70.1962661743164
1752663978.2357767,70.1964111328125
1752663978.411643,70.1953125
1752663978.6056032,70.19255828857422
1752663978.7868607,70.1794204711914
1752663978.988589,70.15983581542969
1752663979.1822977,70.13182830810547
1752663979.4038868,70.0931625366211
1752663979.6561115,70.04267120361328
1752663979.904431,69.9791030883789
1752663980.1544912,69.90068817138672
1752663980.4036345,69.80638122558594
1752663980.626636,69.69315338134766
1752663980.849899,69.55854034423828
1752663981.0489135,69.40333557128906
1752663981.2579994,69.2286376953125
1752663981.4743366,69.03539276123047
1752663981.6857219,68.82400512695312
1752663981.8893974,68.59465026855469
1752663982.1045525,68.34740447998047
1752663982.3202968,68.082275390625
1752663982.5495598,67.80316162109375
1752663982.7713215,67.52197265625
1752663982.979224,67.23712158203125
1752663983.1843696,66.95177459716797
1752663983.3904042,66.6664047241211
1752663983.5937212,66.36287689208984
1752663983.8019598,66.0240249633789
1752663983.9973395,65.65647888183594
1752663984.175375,65.26415252685547
1752663984.3413994,64.84960174560547
1752663984.5022304,64.41454315185547
1752663984.6668012,63.96761703491211
1752663984.8306599,63.52021026611328
1752663985.0079703,63.071311950683594
1752663985.195275,62.59877395629883
1752663985.386765,62.104705810546875
1752663985.5651178,61.59196472167969
1752663985.7498872,61.06235122680664
1752663985.931617,60.51703643798828
1752663986.0907876,59.9567756652832
1752663986.2618005,59.3820915222168
1752663986.4265757,58.79331588745117
1752663986.5953066,58.1906623840332
1752663986.7533364,57.57429885864258
1752663986.9246247,56.944305419921875
1752663987.1061099,56.31121063232422
1752663987.2857623,55.67774200439453
1752663987.4608705,55.0378303527832
1752663987.6526308,54.38206100463867
1752663987.8381367,53.7125244140625
1752663988.0120096,53.0301399230957
1752663988.183859,52.33549499511719
1752663988.357922,51.62895965576172
1752663988.5330749,50.9107666015625
1752663988.7178805,50.181087493896484
1752663988.8849893,49.44001007080078
1752663989.0476701,48.68761444091797
1752663989.2038987,47.92394256591797
1752663989.3575203,47.14902877807617
1752663989.5281942,46.36288070678711
1752663989.6892161,45.56551742553711
1752663989.8617504,44.7587890625
1752663990.0384877,43.95185852050781
1752663990.2186587,43.14442443847656
1752663990.3937256,42.326229095458984
1752663990.5693364,41.49616622924805
1752663990.7521217,40.65537643432617
1752663990.9313865,39.80453109741211
1752663991.1567438,38.944053649902344
1752663991.284682,38.07421875
1752663991.452575,37.195213317871094
1752663991.6180508,36.30715560913086
1752663991.8114202,35.41012191772461
1752663991.9573002,34.50416564941406
1752663992.1782312,33.589317321777344
1752663992.306664,32.665611267089844
1752663992.5247078,31.73305320739746
1752663992.666878,30.79166030883789
1752663992.837455,29.841434478759766
1752663993.0364914,28.88238525390625
1752663993.1625876,27.91451072692871
1752663993.3184962,26.937814712524414
1752663993.487824,25.95230484008789
1752663993.6366706,24.957971572875977
1752663993.779871,23.954818725585938
1752663993.973452,22.942846298217773
1752663994.114087,21.922054290771484
1752663994.3288076,20.89244270324707
1752663994.467613,19.854015350341797
1752663994.635615,18.806766510009766
1752663994.8467689,17.754940032958984
1752663994.9706755,16.703815460205078
1752663995.183745,15.6502103805542
1752663995.314125,14.586912155151367
1752663995.5124037,13.514860153198242
1752663995.6322381,12.434772491455078
1752663995.8398929,11.347086906433105
1752663995.9666388,10.252076148986816
1752663996.1355603,9.14991569519043
1752663996.339178,8.04072380065918
1752663996.453142,6.924578666687012
1752663996.6101286,5.8015336990356445
1752663996.8092563,4.6716227531433105
1752663996.922941,3.5348711013793945
1752663997.1068006,2.3912954330444336
1752663997.2285144,1.2409075498580933
1752663997.422462,0.0837167352437973
1752663997.5394142,-1.0802704095840454
1752663997.7207453,-2.2510488033294678
1752663997.863388,-3.428614377975464
1752663997.9830234,-4.6129631996154785
1752663998.1325676,-5.8040924072265625
1752663998.2820494,-7.001997947692871
1752663998.4798663,-8.206679344177246
1752663998.595692,-9.418132781982422
1752663998.769825,-10.636354446411133
1752663998.871201,-11.861345291137695
1752663999.0376172,-13.093098640441895
1752663999.1453302,-14.33161735534668
1752663999.2849524,-15.576895713806152
1752663999.4278202,-16.828929901123047
1752663999.6021981,-18.087718963623047
1752663999.7044117,-19.353260040283203
1752663999.83974,-20.625551223754883
1752664000.0323114,-21.90458869934082
1752664000.1432114,-23.19037628173828
1752664000.3189328,-24.4829044342041
1752664000.4426506,-25.78217315673828
1752664000.6301882,-27.088178634643555
1752664000.7481406,-28.400917053222656
1752664000.9327564,-29.7196102142334
1752664001.0422227,-31.03934097290039
1752664001.2052162,-32.353050231933594
1752664001.3840911,-33.65436553955078
1752664001.5587642,-34.9401741027832
1752664001.70118,-36.20941925048828
1752664001.8243427,-37.46146774291992
1752664001.99645,-38.6959342956543
1752664002.1173737,-39.91259765625
1752664002.2997017,-41.11146926879883
1752664002.412897,-42.29464340209961
1752664002.6072006,-43.46271514892578
1752664002.720899,-44.6104621887207
1752664002.8975322,-45.73585510253906
1752664003.026274,-46.8400764465332
1752664003.2207131,-47.923866271972656
1752664003.331863,-48.98767852783203
1752664003.5237553,-50.03184509277344
1752664003.634736,-51.05657958984375
1752664003.8248785,-52.062068939208984
1752664003.926062,-53.048465728759766
1752664004.0870686,-54.01588821411133
1752664004.2138789,-54.9644660949707
1752664004.379303,-55.89681625366211
1752664004.4892986,-56.81419372558594
1752664004.6344311,-57.71189880371094
1752664004.7672534,-58.58510971069336
1752664004.9227972,-59.43561553955078
1752664005.0554206,-60.26445007324219
1752664005.2018745,-61.072322845458984
1752664005.3605905,-61.85971450805664
1752664005.5204198,-62.626976013183594
1752664005.6632125,-63.3744010925293
1752664005.775688,-64.10254669189453
1752664005.9401238,-64.81503295898438
1752664006.056853,-65.51273345947266
1752664006.198974,-66.18849182128906
1752664006.3552334,-66.83885955810547
1752664006.475541,-67.46640014648438
1752664006.5898902,-68.07225799560547
1752664006.7805297,-68.6570816040039
1752664006.875458,-69.22062683105469
1752664007.047438,-69.76777648925781
1752664007.1871042,-70.30117797851562
1752664007.3434782,-70.8145980834961
1752664007.4918592,-71.29619598388672
1752664007.6360865,-71.74884796142578
1752664007.7690442,-72.17677307128906
1752664007.9149408,-72.58336639404297
1752664008.0424907,-72.97064208984375
1752664008.1913574,-73.33958435058594
1752664008.3017063,-73.69393920898438
1752664008.4332323,-74.01714324951172
1752664008.6082628,-74.27610778808594
1752664008.7305443,-74.46942138671875
1752664008.8750615,-74.59709930419922
1752664009.0007298,-74.65990447998047
1752664009.140448,-74.66893005371094
1752664009.2851167,-74.6697769165039
1752664009.4248717,-74.67097473144531
1752664009.5710073,-74.672119140625
1752664009.7128377,-74.6730728149414
1752664009.8602746,-74.673828125
1752664009.985362,-74.67684173583984
1752664010.1140983,-74.68341064453125
1752664010.247776,-74.69158935546875
1752664010.3902273,-74.70052337646484
1752664010.5744617,-74.70967102050781
1752664010.7049813,-74.71883392333984
1752664010.852744,-74.72779846191406
1752664010.992239,-74.7365493774414
1752664011.1387012,-74.74498748779297
